"You will be redirected to Wompi to complete your payment securely.","Serás redirigido a Wompi para completar el pago de forma segura."
"Sandbox mode","Modo sandbox"
"Cards (Visa, Mastercard, Amex)","Tarjetas (Visa, Mastercard, Amex)"
"PSE and Nequi","PSE y Nequi"
"Bancolombia and more","Bancolombia y más"
"Redirecting to Wompi secure checkout","Redirigiendo al checkout seguro de Wompi"
"Continue to Wompi","Continuar a Wompi"
"Payment status will be confirmed shortly.","El estado del pago se confirmará en breve."
"Your Wompi payment was received.","Tu pago con Wompi fue recibido."
"We are verifying your Wompi payment.","Estamos verificando tu pago con Wompi."
"Your Wompi payment could not be completed.","No se pudo completar tu pago con Wompi."
"Wompi payment approved. Transaction ID: %1","Pago Wompi aprobado. ID de transacción: %1"
"Wompi payment not completed (%1). Transaction ID: %2","Pago Wompi no completado (%1). ID de transacción: %2"
"Pagado","Pagado"
"Plan Agregador (recomendado)","Plan Agregador (recomendado)"
"Plan Gateway","Plan Gateway"
"Modo de prueba","Modo de prueba"
"Sandbox (pruebas)","Sandbox (pruebas)"
"Producción","Producción"
"Public key","Llave pública"
"Private key","Llave privada"
"Events","Eventos"
"Integrity","Integridad"
"Llave pública del API (`pub_test_*`). Mismo orden que el panel Wompi.","Llave pública del API (`pub_test_*`). Mismo orden que el panel Wompi."
"Llave privada del API (`prv_test_*`).","Llave privada del API (`prv_test_*`)."
"Secreto de eventos para webhooks (`test_events_*`).","Secreto de eventos para webhooks (`test_events_*`)."
"Secreto de integridad para Web Checkout (`test_integrity_*`).","Secreto de integridad para Web Checkout (`test_integrity_*`)."
"Llave pública del API (`pub_prod_*`). Mismo orden que el panel Wompi.","Llave pública del API (`pub_prod_*`). Mismo orden que el panel Wompi."
"Llave privada del API (`prv_prod_*`).","Llave privada del API (`prv_prod_*`)."
"Secreto de eventos para webhooks (`prod_events_*`).","Secreto de eventos para webhooks (`prod_events_*`)."
"Secreto de integridad para Web Checkout (`prod_integrity_*`).","Secreto de integridad para Web Checkout (`prod_integrity_*`)."
"Sandbox o producción. Ambos juegos de llaves pueden guardarse; este selector define cuál usa el checkout.","Sandbox o producción. Ambos juegos de llaves pueden guardarse; este selector define cuál usa el checkout."
